ROM;Clone Of;Name;Year;advmame;mame4all;gngeo;fba
wboyu;wboy;Wonder Boy (not encrypted);1986;;;N/A;N/A
wjammers;;Windjammers / Flying Power Disc;1994;;;;
wof;;Warriors of Fate (World 921002);1992;;;N/A;
wwfwfsta;wwfwfest;WWF WrestleFest (US Tecmo);1991;;N/A;N/A;
wwfwfstj;wwfwfest;WWF WrestleFest (Japan);1991;;N/A;N/A;
xenophob;;Xenophobe;1987;;;N/A;N/A
xmen6p;xmen;X-Men (6 Players ver ECB);1992;;;N/A;N/A
xxmissio;;XX Mission;1986;;N/A;N/A;N/A
xybots;;Xybots (rev 2);1987;;;N/A;N/A
zaxxon;;Zaxxon (set 1);1982;;;N/A;N/A
zaxxon2;zaxxon;Zaxxon (set 2);1982;;;N/A;N/A
zeropnt2;;Zero Point 2;1999;;N/A;N/A;N/A
zerozone;;Zero Zone;1993;;;N/A;N/A
zombraid;;Zombie Raid (US);1995;;N/A;N/A;N/A
