# name|cloneof|title|category|manufacturer|year|titleImg|snapImg
tourtabl||Tournament Table (set 1)|Multiplay|Atari|1978|tourtabl|tourtabl
toutrun||Turbo Out Run (Out Run upgrade, FD1094 317-0118)|Driving / Race (chase view)|Sega|1989|toutrun|toutrun
toutrun1|toutrun|Turbo Out Run (deluxe cockpit, FD1094 317-0109)|Driving / Race (chase view)|Sega|1989|toutrun|toutrun
toutrun2|toutrun|Turbo Out Run (cockpit, FD1094 317-0106)|Driving / Race (chase view)|Sega|1989|toutrun|toutrun
toypop||Toypop|Maze|Namco|1986|toypop|toypop
tp2m32|tetrisp2|Tetris Plus 2 (MegaSystem 32 Version)|Puzzle / Drop|Jaleco|1997|tetrisp2|tetrisp2
tp84||Time Pilot '84 (set 1)|Shooter / Field|Konami|1984|tp84|tp84
tp84a|tp84|Time Pilot '84 (set 2)|Shooter / Field|Konami|1984|tp84|tp84
tp84b|tp84|Time Pilot '84 (set 3)||Konami|1984|tp84|tp84
tpgolf||Top Player's Golf (NGM-003)(NGH-003)|Sports / Golf|SNK|1990|tpgolf|tpgolf
tps||TPS|BIOS|Tecmo|1997||
trackfld||Track & Field|Sports / Track & Field|Konami|1983|trackfld|trackfld
trailblz||Trail Blazer||Coinmaster|1987||
trally||Thrash Rally (ALM-003)(ALH-003)|Driving / Race|Alpha Denshi Co.|1991|trally|trally
tranqgun||Tranquillizer Gun|Maze / Shooter Small|Sega|1980|tranqgun|tranqgun
transfrm||Transformer|Shooter / Flying Horizontal|Sega|1986|transfrm|transfrm
travrusa||Traverse USA / Zippy Race|Driving / Race Bike|Irem|1983|travrusa|travrusa
trckydoc||Tricky Doc (set 1)|Platform / Run Jump Scrolling|Tecfri|1987|trckydoc|trckydoc
treahunt|jack|Treasure Hunt (bootleg?)|Climbing|bootleg? (Hara Industries)|1982|jack|jack
tricktrp||Trick Trap (World?)|Shooter / Walking|Konami|1987|tricktrp|tricktrp
trigon|lgtnfght|Trigon (Japan)|Shooter / Flying Vertical|Konami|1990|lgtnfght|lgtnfght
triothep||Trio The Punch - Never Forget Me... (World)|Platform / Fighter Scrolling|Data East Corporation|1989|triothep|triothep
